Season,Characters
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
Season_1,Betsy Brandt as Marie Schrader
Season_1,RJ Mitte as Walter White Jr.
Season_1,Max Arciniega as Krazy-8
Season_1,John Koyama as Emilio
Season_1,Steven Michael Quezada as Gomez
Season_1,Marius Stan as Bogdan
Season_1,Aaron Hill as Jock
Season_1,Greg Chase as Dr. Belknap
Season_1,Carmen Serano as Carmen
Season_1,Evan Bobrick as Chad
Season_1,Roberta Marquez as Chad's Girlfriend
Season_1,Christopher Dempsey as E.M.T.
Season_1,Allan Pacheco as Irving
Season_1,Jason Byrd as Chemistry Student
Season_1,Linda Speciale as Sexy Neighbor
Season_1,Jesus Ramirez as Jock's Friend #1
Season_1,Joshua S. Patton as Jock's Friend #2
Season_1,Christopher Dempsey as Paramedic
Season_1,Edward A. Duran as DEA Agent #1
Season_1,Andrea Good as Laundry Worker
Season_1,Sergio Kato as DEA Agent Tom
Season_1,Benjamin Lax as Chemistry Student
Season_1,William E. Marshall as Parent
Season_1,Peggy Ann O'Neal as Pedestrian
Season_1,Melissa Bernstein as Student in bus
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader (credit only)
Season_1,Betsy Brandt as Marie Schrader (credit only)
Season_1,RJ Mitte as Walter White Jr.
Season_1,Max Arciniega as Krazy-8
Season_1,John Koyama as Emilio
Season_1,Shane Marinson as Ob-Gyn
Season_1,Jason Byrd as Ben
Season_1,Anthony Wamego as Backhoe Operator
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
Season_1,Betsy Brandt as Marie Schrader
Season_1,RJ Mitte as Walter White Jr.
Season_1,Max Arciniega as Krazy-8
Season_1,Jessica Hecht as Gretchen Schwartz
Season_1,Steven Michael Quezada as Steven Gomez
Season_1,Carmen Serano as Carmen Molina
Season_1,Anna Felix as Sales Girl
Season_1,Julia Minesci as Meth Whore
Season_1,Daniel Serrano as Meth Drug Dealer
Season_1,Jason Byrd as Ben
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
Season_1,Betsy Brandt as Marie Schrader
Season_1,RJ Mitte as Walter White Jr.
Season_1,Tess Harper as Mrs. Pinkman
Season_1,Steven Michael Quezada as Steven Gomez
Season_1,Michael Bofshever as Mr. Pinkman
Season_1,Kyle Bornheimer as Ken
Season_1,Ben Petry as Jake Pinkman
Season_1,David House as Dr. Delcavoli
Season_1,Jon Kristian Moore as DEA Agent
Season_1,Tish Miller as Bank Teller
Season_1,Charles Baker as Skinny Pete
Season_1,Rodney Rush as Chubby Stoner
Season_1,Michael-David Aragon as DEA Agent #2
Season_1,Robert Anthony Brass as Bank Customer
Season_1,Tavia Schwartz as Home Buyer
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
Season_1,Betsy Brandt as Marie Schrader
Season_1,RJ Mitte as Walter White Jr.
Season_1,Adam Godley as Elliott Schwartz
Season_1,Jessica Hecht as Gretchen Schwartz
Season_1,Matt Jones as Badger
Season_1,William Sterchi as Manager
Season_1,Marc Mouchet as Farley
Season_1,Kiira Arai Sniegowski as Server
Season_1,William Allen as Scientist
Season_1,Loren Haynes as Music Producer
Season_1,Kyle Swimmer as Louis
Season_1,Robert Arrington as Soren
Season_1,Frederic Doss as Off Duty Cop
Season_1,Juanita Trad as Medical Technician
Season_1,William T. Johnson as Neighborhood Boy
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
Season_1,Betsy Brandt as Marie Schrader
Season_1,RJ Mitte as Walter White Jr.
Season_1,Raymond Cruz as Tuco Salamanca
Season_1,Steven Michael Quezada as Steven Gomez
Season_1,Carmen Serano as Carmen Molina
Season_1,Pierre Barrera as Hugo
Season_1,Charles Baker as Skinny Pete
Season_1,Cesar Garcia as No-Doze
Season_1,Jesus Payan as Gonzo
Season_1,Vivian Nesbitt as Mrs. Pope
Season_1,Judith Rane as Office Manager
Season_1,Seraphine DeYoung as Student
Season_1,Dennis Keiffer as Lookout
Season_1,Andrea Good as Laundry Worker
Season_1,Bryan Cranston as Walter White
Season_1,Anna Gunn as Skyler White
Season_1,Aaron Paul as Jesse Pinkman
Season_1,Dean Norris as Hank Schrader
