Season,Characters
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Krazy-8
Season_1,Emilio
Season_1,Gomez
Season_1,Bogdan
Season_1,Jock
Season_1,Dr. Belknap
Season_1,Carmen
Season_1,Chad
Season_1,Chad's Girlfriend
Season_1,E.M.T.
Season_1,Irving
Season_1,Chemistry Student
Season_1,Sexy Neighbor
Season_1,Jock's Friend
Season_1,Jock's Friend
Season_1,Paramedic
Season_1,DEA Agent
Season_1,Laundry Worker
Season_1,DEA Agent Tom
Season_1,Chemistry Student
Season_1,Parent
Season_1,Pedestrian
Season_1,Student in bus
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Krazy-8
Season_1,Emilio
Season_1,Ob-Gyn
Season_1,Ben
Season_1,Backhoe Operator
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Krazy-8
Season_1,Gretchen Schwartz
Season_1,Steven Gomez
Season_1,Carmen Molina
Season_1,Sales Girl
Season_1,Meth Whore
Season_1,Meth Drug Dealer
Season_1,Ben
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Mrs. Pinkman
Season_1,Steven Gomez
Season_1,Mr. Pinkman
Season_1,Ken
Season_1,Jake Pinkman
Season_1,Dr. Delcavoli
Season_1,DEA Agent
Season_1,Bank Teller
Season_1,Skinny Pete
Season_1,Chubby Stoner
Season_1,DEA Agent
Season_1,Bank Customer
Season_1,Home Buyer
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Elliott Schwartz
Season_1,Gretchen Schwartz
Season_1,Badger
Season_1,Manager
Season_1,Farley
Season_1,Server
Season_1,Scientist
Season_1,Music Producer
Season_1,Louis
Season_1,Soren
Season_1,Off Duty Cop
Season_1,Medical Technician
Season_1,Neighborhood Boy
Season_1,Walter White
Season_1,Skyler White
Season_1,Jesse Pinkman
Season_1,Hank Schrader
Season_1,Marie Schrader
Season_1,Walter White Jr.
Season_1,Tuco Salamanca
Season_1,Steven Gomez
Season_1,Carmen Molina
Season_1,Hugo
Season_1,Skinny Pete
Season_1,No-Doze
Season_1,Gonzo
