source,target,weight,community
Albuquerque,Donald Margolis,1,0
Albuquerque,Walter,10,0
Albuquerque,Hank,11,0
Albuquerque,Leonel Salamanca,5,0
Albuquerque,Francesca,6,0
Donald Margolis,Walter,6,0
Donald Margolis,Jane Margolis,6,0
Walter,Skyler,207,0
Walter,Hank,97,0
Walter,Jesse,449,0
Walter,Walt Jr.,5,0
Walter,Cousins,47,0
Walter,Marie,21,0
Walter,DEA,15,0
Walter,Saul Goodman,69,0
Walter,Mike,69,0
Walter,Ted Beneke,28,0
Walter,Leonel Salamanca,17,0
Walter,Marco,5,0
Walter,Tuco Salamanca,18,0
Walter,Bolsa,11,0
Walter,Carmen,5,0
Walter,Merkert,5,0
Walter,Jane Margolis,6,0
Walter,Badger,5,0
Walter,Gale Boetticher,56,0
Walter,Clovis,6,0
Walter,Old Joe,6,0
Walter,Joe,5,0
Walter,Gomez,16,0
Walter,Victor,27,0
Walter,Andrea Cantillo,5,0
Walter,Combo,11,0
Walter,Wendy,6,0
Skyler,Hank,32,0
Skyler,Walt Jr.,11,0
Skyler,Jesse,6,0
Skyler,Marie,23,0
Skyler,Cousins,5,0
Skyler,Tuco Salamanca,5,0
Skyler,Ted Beneke,43,0
Skyler,DEA,5,0
Skyler,Saul Goodman,17,0
Skyler,Combo,5,0
Hank,DEA,23,3
Hank,Marie,122,3
Hank,Jane Margolis,10,3
Hank,Gomez,56,3
Hank,Merkert,22,3
Hank,Jesse,101,3
Hank,Victor,5,3
Hank,Janice,6,3
Hank,Combo,11,3
Hank,Ortega,6,3
Hank,Skinny Pete,6,3
Hank,Badger,6,3
Hank,Saul Goodman,5,3
Hank,Cousins,17,3
Hank,Joe,6,3
Hank,Hector Salamanca,5,3
Hank,Tuco Salamanca,6,3
Hank,Leonel Salamanca,16,3
Hank,Marco,23,3
Hank,Bolsa,6,3
Jesse,Marie,21,3
Jesse,Jane Margolis,35,3
Jesse,Cousins,10,3
Jesse,Saul Goodman,88,3
Jesse,Marco,5,3
Jesse,DEA,10,3
Jesse,Ted Beneke,5,3
Jesse,Victor,22,3
Jesse,Skinny Pete,33,3
Jesse,Combo,11,3
Jesse,Badger,10,3
Jesse,Gale Boetticher,11,3
Jesse,Merkert,6,3
Jesse,Leonel Salamanca,5,3
Jesse,Tuco Salamanca,5,3
Jesse,Gomez,5,3
Jesse,Andrea Cantillo,22,3
Jesse,Brock,5,3
Jesse,Wendy,16,3
Jesse,Mike,22,3
Cousins,Victor,5,2
Cousins,DEA,5,2
Cousins,Tortuga,6,2
Cousins,Gomez,5,2
Cousins,Hector Salamanca,6,2
Cousins,Bolsa,12,2
Cousins,Mike,6,2
Cousins,Tuco Salamanca,5,2
Cousins,Marco,5,2
Cousins,Juan Bolsa,6,2
Marie,Gomez,18,2
Marie,DEA,5,2
Marie,Juan Bolsa,5,2
Marie,Bolsa,5,2
DEA,Tortuga,5,2
DEA,Gomez,12,2
DEA,Merkert,5,2
DEA,Bolsa,6,2
Saul Goodman,Mike,29,0
Saul Goodman,Francesca,6,0
Mike,Marco,6,1
Mike,Victor,18,1
Mike,Tortuga,5,1
Mike,Ted Beneke,5,1
Mike,Leonel Salamanca,12,1
Mike,Gomez,5,1
Mike,Patrick,5,1
Mike,Gale Boetticher,6,1
Mike,Chow,5,1
Marco,Leonel Salamanca,45,1
Leonel Salamanca,Hector Salamanca,5,1
Leonel Salamanca,Bolsa,5,1
Hector Salamanca,Tuco Salamanca,6,2
Hector Salamanca,Juan Bolsa,6,2
Tuco Salamanca,Bolsa,6,2
Victor,Gale Boetticher,17,1
Tortuga,Juan Bolsa,6,2
Tortuga,Bolsa,5,2
Gomez,Janice,5,3
Gomez,Merkert,11,3
Skinny Pete,Combo,6,3
Skinny Pete,Badger,6,3
Combo,Ortega,6,3
Combo,Andrea Cantillo,6,3
Badger,Clovis,6,3
Badger,Andrea Cantillo,5,3
Andrea Cantillo,Brock,10,3
Wendy,Patrick,6,1
